Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:32:20

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
                   |              | 28:30              | 4.00        
                   |              | 28:30              | 5.00        
                   |              | 28:30              | 6.00        
                   |              | 28:30              | 6.00        
                   |              | 28:31              | 7.00        
                   |              | 28:31              | 7.00        
                   |              | 28:31              | 6.00        
                   |              | 28:31              | 5.00        
                   |              | 28:31              | 5.00        
                   |              | 28:32              | 4.00        
                   |              | 28:32              | 5.00        
                   |              | 28:32              | 4.00        
                   |              | 28:32              | 5.00        
                   |              | 28:32              | 4.00        
                   |              | 28:32              | 4.00        
                   |              | 28:32              | 3.00        
                   |              | 28:33              | 3.00        
                   |              | 28:33              | 2.00        
                   |              | 28:33              | 2.00        
                   |              | 28:33              | 1.00        
                   |              | 28:33              | 1.00        
                   |              | 28:34              | 2.00        
                   |              | 28:34              | 2.00        
                   |              | 28:34              | 1.00        
                   |              | 28:36              | 1.00        
                   |              | 28:36              | 2.00        
                   |              | 28:36              | 2.00        
                   |              | 28:36              | 3.00        
                   |              | 28:36              | 3.00        
                   |              | 28:36              | 2.00        
                   |              | 28:36              | 2.00        
                   |              | 28:38              | 3.00        
                   |              | 28:38              | 3.00        
                   |              | 28:39              | 2.00        
                   |              | 28:39              | 2.00        
                   |              | 28:39              | 3.00        
                   |              | 28:39              | 3.00        
                   |              | 28:39              | 4.00        
                   |              | 28:39              | 4.00        
                   |              | 28:40              | 6.00        
                   |              | 28:40              | 7.00        
                   |              | 28:44              | 8.00        
                   |              | 28:46              | 7.00        
                   |              | 28:48              | 8.00        
                   |              | 28:49              | 7.00        
                   |              | 28:49              | 6.00        
                   |              | 28:49              | 5.00        
                   |              | 28:49              | 5.00        
                   |              | 28:49              | 6.00        
                   |              | 28:49              | 6.00        
                   |              | 28:49              | 7.00        
                   |              | 28:50              | 7.00        
                   |              | 28:50              | 8.00        
                   |              | 28:50              | 8.00        
                   |              | 28:50              | 9.00        
                   |              | 28:50              | 8.00        
                   |              | 28:50              | 9.00        
                   |              | 28:51              | 9.00        
                   |              | 28:51              | 8.00        
                   |              | 28:51              | 8.00        
                   |              | 28:51              | 7.00        
                   |              | 28:51              | 6.00        
                   |              | 28:51              | 6.00        
                   |              | 28:51              | 4.00        
                   |              | 28:51              | 4.00        
                   |              | 28:51              | 3.00        
                   |              | 28:52              | 1.00        
                   |              | 28:52              | 0.00        
                   |              | 28:52              | 2.00        
                   |              | 28:52              | 3.00        
                   |              | 28:52              | 5.00        
                   |              | 28:52              | 6.00        
                   |              | 28:52              | 7.00        
                   |              | 28:52              | 7.00        
                   |              | 28:52              | 6.00        
                   |              | 28:52              | 6.00        
                   |              | 28:52              | 5.00        
                   |              | 28:52              | 5.00        
                   |              | 28:53              | 4.00        
                   |              | 28:53              | 3.00        
                   |              | 28:53              | 2.00        
                   |              | 28:53              | 1.00        
                   |              | 28:53              | 1.00        
                   |              | 28:53              | 0.00        
                   |              | 28:53              | 0.00        
                   |              | 28:54              | 3.00        
                   |              | 28:54              | 2.00        
                   |              | 28:54              | 2.00        
                   |              | 28:54              | 1.00        
                   |              | 28:54              | 1.00        
                   |              | 28:54              | 0.00        
                   |              | 28:54              | 0.00        
                   |              | 28:54              | 1.00        
                   |              | 28:54              | 2.00        
                   |              | 28:54              | 3.00        
                   |              | 28:54              | 4.00        
                   |              | 28:54              | 4.00        
                   |              | 28:54              | 5.00        
                   |              | 28:55              | 5.00        
                   |              | 28:55              | 6.00        
                   |              | 28:55              | 6.00        
                   |              | 28:55              | 7.00        
                   |              | 28:55              | 7.00        
                   |              | 28:55              | 8.00        
                   |              | 28:55              | 7.00        
                   |              | 28:55              | 8.00        
                   |              | 28:56              | 8.00        
                   |              | 28:57              | 7.00        
                   |              | 28:57              | 6.00        
                   |              | 28:57              | 6.00        
                   |              | 28:57              | 5.00        
                   |              | 28:57              | 5.00        
                   |              | 28:57              | 6.00        
                   |              | 28:57              | 5.00        
                   |              | 28:58              | 6.00        
                   |              | 28:58              | 4.00        
                   |              | 28:58              | 3.00        
                   |              | 28:58              | 2.00        
                   |              | 28:58              | 1.00        
                   |              | 28:58              | 1.00        
